district_name,fin_year,lgd_district_code,lgd_state_code,mnth,scheme_code,state_name,total_aadhar,total_beneficiaries,total_gen,total_mobileno,total_obc,total_sc,total_st
KULGAM,2024-2025,622,1,06,IGNOAPS,"JAMMU AND KASHMIR",4447,4450,4056,360,295,48,51
SHOPIAN,2024-2025,625,1,06,IGNOAPS,"JAMMU AND KASHMIR",1514,1514,1299,1081,0,0,215
BANKA,2024-2025,190,10,06,IGNOAPS,BIHAR,48604,63718,50483,53394,3816,8199,1220
BHOJPUR,2024-2025,193,10,06,IGNOAPS,BIHAR,61931,96521,44200,75108,30432,20679,1210
KATIHAR,2024-2025,201,10,06,IGNOAPS,BIHAR,65978,89328,82995,70833,2408,2842,1083
MADHUBANI,2024-2025,206,10,06,IGNOAPS,BIHAR,171212,237912,210999,186839,10708,15392,813
PURNIA,2024-2025,214,10,06,IGNOAPS,BIHAR,83661,115254,37450,92621,63282,9843,4679
VAISHALI,2024-2025,224,10,06,IGNOAPS,BIHAR,129350,168762,32305,145314,94046,41907,504
"WEST DISTRICT",2024-2025,228,11,06,IGNOAPS,SIKKIM,0,5061,1462,0,1270,222,2107
"PAPUM PARE",2024-2025,237,12,06,IGNOAPS,"ARUNACHAL PRADESH",2468,3230,0,0,0,0,3230
ANJAW,2024-2025,628,12,06,IGNOAPS,"ARUNACHAL PRADESH",650,986,1,0,0,0,985
NAMSAI,2024-2025,678,12,06,IGNOAPS,"ARUNACHAL PRADESH",435,1055,0,0,0,0,1055
KOHIMA,2024-2025,245,13,06,IGNOAPS,NAGALAND,1758,7103,0,94,0,0,7103
MOKOKCHUNG,2024-2025,246,13,06,IGNOAPS,NAGALAND,451,7294,0,192,0,3,7291
MON,2024-2025,247,13,06,IGNOAPS,NAGALAND,10,6594,0,0,0,15,6579
TUENSANG,2024-2025,249,13,06,IGNOAPS,NAGALAND,1,5999,4164,0,15,10,1810
WOKHA,2024-2025,250,13,06,IGNOAPS,NAGALAND,0,5839,0,0,0,16,5823
PEREN,2024-2025,613,13,06,IGNOAPS,NAGALAND,0,2180,0,0,0,0,2180
"IMPHAL WEST",2024-2025,256,14,06,IGNOAPS,MANIPUR,8776,10396,1994,2251,7638,563,201
THOUBAL,2024-2025,259,14,06,IGNOAPS,MANIPUR,5677,8388,6909,1101,1087,377,15
AIZAWL,2024-2025,261,15,06,IGNOAPS,MIZORAM,6930,8419,123,6018,7,2,8287
KOLASIB,2024-2025,263,15,06,IGNOAPS,MIZORAM,1258,1349,59,997,0,3,1287
HNAHTHIAL,2024-2025,726,15,06,IGNOAPS,MIZORAM,928,1022,61,796,1,0,960
KHAWZAWL,2024-2025,728,15,06,IGNOAPS,MIZORAM,579,741,1,679,0,2,738
"WEST TRIPURA",2024-2025,272,16,06,IGNOAPS,TRIPURA,13341,22303,8760,185,2831,2804,7908
"EAST GARO HILLS",2024-2025,273,17,06,IGNOAPS,MEGHALAYA,3100,3420,94,800,1,6,3319
"WEST JAINTIA HILLS",2024-2025,275,17,06,IGNOAPS,MEGHALAYA,2858,5113,581,268,8,8,4516
"SOUTH GARO HILLS",2024-2025,277,17,06,IGNOAPS,MEGHALAYA,787,4353,312,5,29,49,3962
"WEST GARO HILLS",2024-2025,278,17,06,IGNOAPS,MEGHALAYA,5245,8975,2952,704,152,121,5750
"WEST KHASI HILLS",2024-2025,279,17,06,IGNOAPS,MEGHALAYA,4705,7257,67,2422,4,3,7183
GOLAGHAT,2024-2025,288,18,06,IGNOAPS,ASSAM,15151,21266,17618,15325,2236,491,921
"KARBI ANGLONG",2024-2025,292,18,06,IGNOAPS,ASSAM,9579,15893,1877,8006,2986,1007,10023
UDALGURI,2024-2025,617,18,06,IGNOAPS,ASSAM,13622,16760,4206,12352,2966,2701,6887
"SOUTH SALMARA-MANCACHAR",2024-2025,707,18,06,IGNOAPS,ASSAM,7714,9884,9700,7500,38,108,38
BAJALI,2024-2025,739,18,06,IGNOAPS,ASSAM,5049,5755,5076,5733,288,243,148
"24 PARGANAS NORTH",2024-2025,303,19,06,IGNOAPS,"WEST BENGAL",119048,122925,87592,108415,2781,27788,4167
COOCHBEHAR,2024-2025,308,19,06,IGNOAPS,"WEST BENGAL",49945,50855,26920,50261,305,23337,274
"PASCHIM MEDINIPUR",2024-2025,318,19,06,IGNOAPS,"WEST BENGAL",61820,62982,41188,60312,505,14165,7113
"PASCHIM BURDWAN",2024-2025,704,19,06,IGNOAPS,"WEST BENGAL",5845,6066,2403,5988,6,2777,873
SOLAN,2024-2025,25,2,06,IGNOAPS,"HIMACHAL PRADESH",1329,5056,2534,0,212,2103,207
DUMKA,2024-2025,326,20,06,IGNOAPS,JHARKHAND,42558,43090,5473,8671,19517,3304,14796
GIRIDIH,2024-2025,329,20,06,IGNOAPS,JHARKHAND,57994,59308,16154,30121,32113,7121,3920
GODDA,2024-2025,330,20,06,IGNOAPS,JHARKHAND,54669,56476,12028,9592,32193,4774,7481
HAZARIBAG,2024-2025,332,20,06,IGNOAPS,JHARKHAND,41496,42258,29323,31428,6190,6410,335
LATEHAR,2024-2025,335,20,06,IGNOAPS,JHARKHAND,31013,31017,3692,21388,8168,5323,13834
PALAMU,2024-2025,338,20,06,IGNOAPS,JHARKHAND,73880,76394,16997,17757,32217,21484,5696
BOUDH,2024-2025,349,21,06,IGNOAPS,ODISHA,13893,14144,9122,5116,2816,1576,630
JAJPUR,2024-2025,356,21,06,IGNOAPS,ODISHA,60758,60905,39855,22633,13123,7086,841
KHORDHA,2024-2025,362,21,06,IGNOAPS,ODISHA,51732,51747,44602,33639,4668,2124,353
KORAPUT,2024-2025,363,21,06,IGNOAPS,ODISHA,63790,65556,16762,33354,5373,8993,34428
PURI,2024-2025,369,21,06,IGNOAPS,ODISHA,57603,59343,42856,43064,12074,4396,17
BASTAR,2024-2025,374,22,06,IGNOAPS,CHHATTISGARH,18814,18846,6202,8597,2067,982,9595
DHAMTARI,2024-2025,377,22,06,IGNOAPS,CHHATTISGARH,15404,17382,10846,1755,4030,440,2066
JASHPUR,2024-2025,380,22,06,IGNOAPS,CHHATTISGARH,21329,24218,4079,11401,4885,1796,13458
KORBA,2024-2025,383,22,06,IGNOAPS,CHHATTISGARH,24788,27599,8154,2444,6135,1928,11382
RAJNANDAGON,2024-2025,388,22,06,IGNOAPS,CHHATTISGARH,17093,17518,11589,5324,4079,964,886
SURGUJA,2024-2025,389,22,06,IGNOAPS,CHHATTISGARH,28572,29846,17875,5842,3549,1588,6834
BALODABAZAR,2024-2025,644,22,06,IGNOAPS,CHHATTISGARH,22672,23571,6101,7984,11070,3886,2514
MUNGELI,2024-2025,647,22,06,IGNOAPS,CHHATTISGARH,24658,25328,9659,5242,9366,4915,1388
SURAJPUR,2024-2025,648,22,06,IGNOAPS,CHHATTISGARH,15728,16523,5078,5614,5092,1043,5310
"KHAIRAGARH CHHUIKHADAN GANDAI",2024-2025,759,22,06,IGNOAPS,CHHATTISGARH,7939,8062,624,4209,5843,658,937
"MANENDRAGARH CHIRMIRI BHARATPUR",2024-2025,760,22,06,IGNOAPS,CHHATTISGARH,7865,8057,2321,2759,1609,571,3556
BARWANI,2024-2025,393,23,06,IGNOAPS,"MADHYA PRADESH",23348,63751,1582,20807,11616,4683,45870
BURHANPUR,2024-2025,397,23,06,IGNOAPS,"MADHYA PRADESH",13930,28774,3963,8001,15574,3073,6164
DAMOH,2024-2025,400,23,06,IGNOAPS,"MADHYA PRADESH",45256,63709,6888,30650,32215,16577,8029
DATIA,2024-2025,401,23,06,IGNOAPS,"MADHYA PRADESH",18847,22467,1821,9955,11092,8940,614
GUNA,2024-2025,406,23,06,IGNOAPS,"MADHYA PRADESH",37424,50776,3248,20648,26138,11156,10234
INDORE,2024-2025,410,23,06,IGNOAPS,"MADHYA PRADESH",20366,26191,3435,9140,9735,8276,4745
KHARGONE,2024-2025,414,23,06,IGNOAPS,"MADHYA PRADESH",31865,68624,5716,28829,26776,14489,21643
MORENA,2024-2025,417,23,06,IGNOAPS,"MADHYA PRADESH",25825,42681,11491,29004,20070,10553,567
RATLAM,2024-2025,423,23,06,IGNOAPS,"MADHYA PRADESH",38161,55698,6686,20905,15815,11120,22077
SATNA,2024-2025,426,23,06,IGNOAPS,"MADHYA PRADESH",90840,129666,27272,48237,51111,27328,23955
SEONI,2024-2025,428,23,06,IGNOAPS,"MADHYA PRADESH",27338,53052,4400,20680,22006,5962,20684
SHAJAPUR,2024-2025,430,23,06,IGNOAPS,"MADHYA PRADESH",31516,43210,5352,18412,20121,15907,1830
TIKAMGARH,2024-2025,434,23,06,IGNOAPS,"MADHYA PRADESH",46843,70518,6087,36811,39410,21188,3833
"AGAR MALWA",2024-2025,667,23,06,IGNOAPS,"MADHYA PRADESH",4723,17258,1911,342,8721,5947,679
AHMADABAD,2024-2025,438,24,06,IGNOAPS,GUJARAT,25769,28702,17687,10997,7071,3673,251
BHARUCH,2024-2025,442,24,06,IGNOAPS,GUJARAT,24489,25161,6133,10345,2681,1805,14523
BHAVNAGAR,2024-2025,443,24,06,IGNOAPS,GUJARAT,6514,6730,2032,4850,4213,452,33
KACHCHH,2024-2025,449,24,06,IGNOAPS,GUJARAT,9827,10142,4823,5952,3696,1508,88
KHEDA,2024-2025,450,24,06,IGNOAPS,GUJARAT,25637,27712,23273,8197,3721,601,70
NAVSARI,2024-2025,453,24,06,IGNOAPS,GUJARAT,10217,10338,1321,3863,497,216,8304
PATAN,2024-2025,455,24,06,IGNOAPS,GUJARAT,16974,18150,5682,11211,10156,2089,192
SURAT,2024-2025,459,24,06,IGNOAPS,GUJARAT,16496,18171,1254,8881,279,500,16135
SURENDRANAGAR,2024-2025,460,24,06,IGNOAPS,GUJARAT,24836,25307,5726,24877,13254,5221,1055
VALSAD,2024-2025,462,24,06,IGNOAPS,GUJARAT,37347,37681,3412,35836,891,695,32683
TAPI,2024-2025,641,24,06,IGNOAPS,GUJARAT,17586,17627,716,17465,136,347,16428
MAHISAGAR,2024-2025,669,24,06,IGNOAPS,GUJARAT,27872,29597,12123,9172,6915,1184,9367
"GIR SOMNATH",2024-2025,675,24,06,IGNOAPS,GUJARAT,6183,6468,4179,3696,1497,726,59
BHANDARA,2024-2025,471,27,06,IGNOAPS,MAHARASHTRA,38970,40690,19579,40109,15456,4455,1200
GADCHIROLI,2024-2025,475,27,06,IGNOAPS,MAHARASHTRA,35765,37340,9312,13749,11793,5171,11064
MUMBAI,2024-2025,482,27,06,IGNOAPS,MAHARASHTRA,156,158,128,65,15,15,0
THANE,2024-2025,497,27,06,IGNOAPS,MAHARASHTRA,3153,3396,1644,199,761,468,523
"SPSR NELLORE",2024-2025,515,28,06,IGNOAPS,"ANDHRA PRADESH",59702,80513,29881,60445,25985,15854,8793
Bapatla,2024-2025,750,28,06,IGNOAPS,"ANDHRA PRADESH",19898,19898,8215,19875,10411,799,473
"Sri Sathya Sai",2024-2025,754,28,06,IGNOAPS,"ANDHRA PRADESH",19532,19532,4822,19505,7887,4648,2175
"BENGALURU URBAN",2024-2025,525,29,06,IGNOAPS,KARNATAKA,9981,11148,6777,7306,2582,1636,153
BELLARY,2024-2025,528,29,06,IGNOAPS,KARNATAKA,26223,26882,5464,18204,13342,3837,4239
GULBARGA,2024-2025,538,29,06,IGNOAPS,KARNATAKA,31460,33382,9953,25720,17826,5328,275
SHIMOGA,2024-2025,547,29,06,IGNOAPS,KARNATAKA,20559,21524,7270,16774,11031,2550,673
"UTTARA KANNADA",2024-2025,550,29,06,IGNOAPS,KARNATAKA,19368,19603,5466,16678,11208,1158,1771
CHIKKABALLAPURA,2024-2025,630,29,06,IGNOAPS,KARNATAKA,32273,33681,9689,26600,15544,5220,3228
HOSHIARPUR,2024-2025,33,3,06,IGNOAPS,PUNJAB,2366,4488,4029,4460,0,459,0
JALANDHAR,2024-2025,34,3,06,IGNOAPS,PUNJAB,972,2207,2193,1747,0,14,0
RUPNAGAR,2024-2025,42,3,06,IGNOAPS,PUNJAB,1302,2451,2443,2402,1,7,0
BARNALA,2024-2025,605,3,06,IGNOAPS,PUNJAB,1698,3557,3460,3526,17,80,0
IDUKKI,2024-2025,556,32,06,IGNOAPS,KERALA,26874,27299,22026,15498,0,4252,1021
KOZHIKODE,2024-2025,561,32,06,IGNOAPS,KERALA,29683,30231,28986,23140,0,1135,110
THIRUVANANTHAPURAM,2024-2025,565,32,06,IGNOAPS,KERALA,82538,84632,78209,53959,0,5931,492
COIMBATORE,2024-2025,569,33,06,IGNOAPS,"TAMIL NADU",62736,68986,2950,58041,42448,21863,1725
DHARMAPURI,2024-2025,571,33,06,IGNOAPS,"TAMIL NADU",31410,33572,14220,26335,12812,5445,1095
MADURAI,2024-2025,578,33,06,IGNOAPS,"TAMIL NADU",31109,41665,18088,23259,20332,3245,0
RAMANATHAPURAM,2024-2025,583,33,06,IGNOAPS,"TAMIL NADU",27365,35969,1363,18887,27263,7342,1
THENI,2024-2025,588,33,06,IGNOAPS,"TAMIL NADU",11185,12964,2178,7696,8873,1891,22
VIRUDHUNAGAR,2024-2025,597,33,06,IGNOAPS,"TAMIL NADU",30781,33972,3313,31674,24495,6134,30
NIRMAL,2024-2025,680,36,06,IGNOAPS,TELANGANA,13726,16439,1201,15303,10495,2944,1799
WANAPARTHY,2024-2025,693,36,06,IGNOAPS,TELANGANA,11616,12851,857,10260,8805,2309,880
KARGIL,2024-2025,6,37,06,IGNOAPS,LADAKH,0,4392,0,0,0,0,4392
NAINITAL,2024-2025,51,5,06,IGNOAPS,UTTARAKHAND,7740,13904,9700,8603,74,4054,76
"PAURI GARHWAL",2024-2025,52,5,06,IGNOAPS,UTTARAKHAND,6559,15771,12191,1958,46,3495,39
PITHORAGARH,2024-2025,53,5,06,IGNOAPS,UTTARAKHAND,3712,8365,5269,1513,155,2862,79
"UTTAR KASHI",2024-2025,57,5,06,IGNOAPS,UTTARAKHAND,2623,8891,6627,6077,318,1900,46
REWARI,2024-2025,72,6,06,IGNOAPS,HARYANA,6287,9211,3572,4576,3574,2065,0
"NORTH EAST",2024-2025,81,7,06,IGNOAPS,DELHI,15487,15496,15496,2288,0,0,0
"SOUTH WEST ",2024-2025,84,7,06,IGNOAPS,DELHI,14956,14984,14984,1678,0,0,0
JALORE,2024-2025,104,8,06,IGNOAPS,RAJASTHAN,26461,28711,3603,27449,13315,7814,3979
NAGAUR,2024-2025,110,8,06,IGNOAPS,RAJASTHAN,17830,20162,3372,18316,9573,7118,99
RAJSAMAND,2024-2025,112,8,06,IGNOAPS,RAJASTHAN,14672,18363,2315,15237,9240,3033,3775
SIROHI,2024-2025,115,8,06,IGNOAPS,RAJASTHAN,6616,7446,457,6531,1587,1601,3801
ALWAR,2024-2025,87,8,06,IGNOAPS,RAJASTHAN,20477,24716,5236,22038,10918,6385,2177
BUNDI,2024-2025,94,8,06,IGNOAPS,RAJASTHAN,11245,12660,777,11550,6120,3740,2023
AGRA,2024-2025,118,9,06,IGNOAPS,"UTTAR PRADESH",45837,76055,15470,32605,35643,24612,218
BARABANKI,2024-2025,129,9,06,IGNOAPS,"UTTAR PRADESH",80990,134095,21132,69497,67143,45235,453
CHANDAULI,2024-2025,135,9,06,IGNOAPS,"UTTAR PRADESH",73788,111314,15612,62576,59169,36288,117
ETAH,2024-2025,138,9,06,IGNOAPS,"UTTAR PRADESH",33105,49614,6603,25039,33565,9408,9
GHAZIABAD,2024-2025,145,9,06,IGNOAPS,"UTTAR PRADESH",10207,18809,6429,4214,7108,5235,11
GHAZIPUR,2024-2025,146,9,06,IGNOAPS,"UTTAR PRADESH",80511,127054,14178,67764,74175,37738,926
LALITPUR,2024-2025,161,9,06,IGNOAPS,"UTTAR PRADESH",34377,57016,7176,30691,34106,12910,2824
MEERUT,2024-2025,169,9,06,IGNOAPS,"UTTAR PRADESH",15160,34163,9001,10936,13454,11688,8
PRATAPGARH,2024-2025,174,9,06,IGNOAPS,"UTTAR PRADESH",78587,142132,33085,67728,75559,33425,51
"SANT KABEER NAGAR",2024-2025,178,9,06,IGNOAPS,"UTTAR PRADESH",53225,94958,19192,47290,47365,28335,39
SULTANPUR,2024-2025,185,9,06,IGNOAPS,"UTTAR PRADESH",68744,106871,27576,62662,47151,31902,93
AMETHI,2024-2025,640,9,06,IGNOAPS,"UTTAR PRADESH",10968,29884,10524,7186,14332,4931,2
ANANTNAG,2024-2025,1,1,04,IGNOAPS,"JAMMU AND KASHMIR",7300,7302,6946,1612,90,37,229
DODA,2024-2025,4,1,04,IGNOAPS,"JAMMU AND KASHMIR",7784,7835,6834,623,113,524,364
GANDERWAL,2024-2025,626,1,04,IGNOAPS,"JAMMU AND KASHMIR",4349,4352,1882,2362,1555,0,915
BEGUSARAI,2024-2025,191,10,04,IGNOAPS,BIHAR,79433,96466,56403,79898,20042,19367,654
BUXAR,2024-2025,194,10,04,IGNOAPS,BIHAR,55280,66681,49368,59425,1856,14325,1132
DARBHANGA,2024-2025,195,10,04,IGNOAPS,BIHAR,96425,150531,103212,126054,24980,21839,500
"KAIMUR (BHABUA)",2024-2025,200,10,04,IGNOAPS,BIHAR,38240,60169,31592,50931,11716,14603,2258
LAKHISARAI,2024-2025,204,10,04,IGNOAPS,BIHAR,26971,36089,13286,29737,16953,5221,629
MUNGER,2024-2025,207,10,04,IGNOAPS,BIHAR,34135,44008,36046,35897,1384,5988,590
NAWADA,2024-2025,210,10,04,IGNOAPS,BIHAR,54530,80091,16234,61885,32074,31349,434
"PURBI CHAMPARAN",2024-2025,213,10,04,IGNOAPS,BIHAR,113586,173824,137793,123924,8262,26182,1587
ROHTAS,2024-2025,215,10,04,IGNOAPS,BIHAR,75784,93121,83449,75651,3274,5963,435
SAHARSA,2024-2025,216,10,04,IGNOAPS,BIHAR,61730,81686,54118,66250,16054,11233,281
SUPAUL,2024-2025,223,10,04,IGNOAPS,BIHAR,52779,73036,44447,63830,19637,8568,384
"EAST DISTRICT",2024-2025,225,11,04,IGNOAPS,SIKKIM,1,6686,0,2702,6685,0,1
"UPPER DIBANG VALLEY",2024-2025,230,12,04,IGNOAPS,"ARUNACHAL PRADESH",160,242,0,0,0,0,242
"EAST SIANG",2024-2025,232,12,04,IGNOAPS,"ARUNACHAL PRADESH",1671,2680,0,0,0,0,2680
LOHIT,2024-2025,234,12,04,IGNOAPS,"ARUNACHAL PRADESH",818,1368,0,0,0,0,1368
"LOWER DIBANG VALLEY",2024-2025,235,12,04,IGNOAPS,"ARUNACHAL PRADESH",1130,1470,0,167,0,0,1470
KAMLE,2024-2025,718,12,04,IGNOAPS,"ARUNACHAL PRADESH",432,895,0,0,0,0,895
"LOWER SIANG",2024-2025,719,12,04,IGNOAPS,"ARUNACHAL PRADESH",365,543,0,39,0,0,543
"PAKKE KESSANG",2024-2025,723,12,04,IGNOAPS,"ARUNACHAL PRADESH",74,317,0,0,0,0,317
"SHI YOMI",2024-2025,725,12,04,IGNOAPS,"ARUNACHAL PRADESH",339,785,0,63,0,0,785
WOKHA,2024-2025,250,13,04,IGNOAPS,NAGALAND,0,5839,0,0,0,16,5823
"IMPHAL EAST",2024-2025,255,14,04,IGNOAPS,MANIPUR,7330,8635,1321,825,6915,50,349
THOUBAL,2024-2025,259,14,04,IGNOAPS,MANIPUR,5531,8222,6761,1101,1072,374,15
UKHRUL,2024-2025,260,14,04,IGNOAPS,MANIPUR,3525,3759,34,496,0,2,3723
LAWNGTLAI,2024-2025,264,15,04,IGNOAPS,MIZORAM,526,1848,174,792,0,0,1674
"EAST KHASI HILLS",2024-2025,274,17,04,IGNOAPS,MEGHALAYA,4210,8239,371,2225,33,73,7762
"RI BHOI",2024-2025,276,17,04,IGNOAPS,MEGHALAYA,3248,6210,55,654,7,27,6121
"WEST KHASI HILLS",2024-2025,279,17,04,IGNOAPS,MEGHALAYA,4645,7331,67,2418,4,3,7257
"EAST JAINTIA HILLS",2024-2025,657,17,04,IGNOAPS,MEGHALAYA,1756,2444,1050,473,13,4,1367
"SOUTH WEST KHASI HILLS",2024-2025,658,17,04,IGNOAPS,MEGHALAYA,1994,2909,64,636,4,50,2791
"SOUTH WEST GARO HILLS",2024-2025,663,17,04,IGNOAPS,MEGHALAYA,1779,2344,456,8,64,35,1789
BONGAIGAON,2024-2025,281,18,04,IGNOAPS,ASSAM,12418,14977,12403,12116,1803,661,110
DHUBRI,2024-2025,285,18,04,IGNOAPS,ASSAM,22276,27253,26839,21648,304,94,16
HAILAKANDI,2024-2025,289,18,04,IGNOAPS,ASSAM,11249,15371,12392,12540,1358,1498,123
KAMRUP,2024-2025,291,18,04,IGNOAPS,ASSAM,32058,43623,36424,22792,2124,2142,2933
KOKRAJHAR,2024-2025,294,18,04,IGNOAPS,ASSAM,15969,21825,7680,17212,3341,820,9984
SONITPUR,2024-2025,301,18,04,IGNOAPS,ASSAM,13593,21600,18935,12844,1547,457,661
UDALGURI,2024-2025,617,18,04,IGNOAPS,ASSAM,13605,17343,4343,11387,3039,2775,7186
BISWANATH,2024-2025,705,18,04,IGNOAPS,ASSAM,12362,20898,15990,5091,1628,940,2340
"SOUTH SALMARA-MANCACHAR",2024-2025,707,18,04,IGNOAPS,ASSAM,7640,9892,9708,7504,38,108,38
CHARAIDEO,2024-2025,708,18,04,IGNOAPS,ASSAM,5029,8144,4571,8087,3276,140,157
HOJAI,2024-2025,709,18,04,IGNOAPS,ASSAM,9998,16959,15120,13367,271,1400,168
BIRBHUM,2024-2025,307,19,04,IGNOAPS,"WEST BENGAL",85039,87972,57644,77222,1965,24964,3219
"DINAJPUR UTTAR",2024-2025,311,19,04,IGNOAPS,"WEST BENGAL",46045,47618,35521,44250,472,10360,1264
JALPAIGURI,2024-2025,314,19,04,IGNOAPS,"WEST BENGAL",32650,34362,15684,32517,675,15935,2044
KOLKATA,2024-2025,315,19,04,IGNOAPS,"WEST BENGAL",17142,17483,17482,13908,0,0,0
"PASCHIM MEDINIPUR",2024-2025,318,19,04,IGNOAPS,"WEST BENGAL",61844,63037,41192,60188,507,14192,7135
MURSHIDABAD,2024-2025,319,19,04,IGNOAPS,"WEST BENGAL",133025,137627,116644,129818,3105,15653,1427
KALIMPONG,2024-2025,702,19,04,IGNOAPS,"WEST BENGAL",2625,2647,1639,2646,37,200,771
BILASPUR,2024-2025,15,2,04,IGNOAPS,"HIMACHAL PRADESH",2882,5735,3207,0,260,2099,169
HAMIRPUR,2024-2025,17,2,04,IGNOAPS,"HIMACHAL PRADESH",3861,7993,3792,0,1297,2766,138
KANGRA,2024-2025,18,2,04,IGNOAPS,"HIMACHAL PRADESH",7918,22594,9070,0,6340,5886,1298
SOLAN,2024-2025,25,2,04,IGNOAPS,"HIMACHAL PRADESH",1329,5056,2534,0,212,2103,207
UNA,2024-2025,26,2,04,IGNOAPS,"HIMACHAL PRADESH",2089,6047,2031,0,1944,1900,172
BOKARO,2024-2025,322,20,04,IGNOAPS,JHARKHAND,36919,36980,8644,18941,18045,5421,4870
DUMKA,2024-2025,326,20,04,IGNOAPS,JHARKHAND,42555,43089,5474,8444,19516,3306,14793
"PURBI SINGHBHUM",2024-2025,327,20,04,IGNOAPS,JHARKHAND,50213,50740,24307,31609,10880,2769,12784
GODDA,2024-2025,330,20,04,IGNOAPS,JHARKHAND,54706,56550,12053,9595,32224,4777,7496
KODERMA,2024-2025,334,20,04,IGNOAPS,JHARKHAND,22479,22670,3291,12568,15958,3344,77
PAKUR,2024-2025,337,20,04,IGNOAPS,JHARKHAND,17913,18024,3486,18001,8008,468,6062
BHADRAK,2024-2025,348,21,04,IGNOAPS,ODISHA,46617,46877,30640,36613,9769,6064,404
KENDRAPARA,2024-2025,360,21,04,IGNOAPS,ODISHA,62661,62828,34275,34495,18905,9474,174
KORAPUT,2024-2025,363,21,04,IGNOAPS,ODISHA,63240,65057,16697,32730,5240,8944,34176
DHAMTARI,2024-2025,377,22,04,IGNOAPS,CHHATTISGARH,15527,17521,10940,1764,4056,442,2083
ANUPPUR,2024-2025,390,23,04,IGNOAPS,"MADHYA PRADESH",12229,24354,1748,10205,7601,2799,12206
ASHOKNAGAR,2024-2025,391,23,04,IGNOAPS,"MADHYA PRADESH",11334,28059,2781,11717,13078,8597,3603
BETUL,2024-2025,394,23,04,IGNOAPS,"MADHYA PRADESH",30659,61341,2996,30053,27540,7767,23038
BHIND,2024-2025,395,23,04,IGNOAPS,"MADHYA PRADESH",21035,35256,8010,19805,15733,11390,123
JABALPUR,2024-2025,411,23,04,IGNOAPS,"MADHYA PRADESH",25316,67972,7437,21658,33166,11406,15963
MORENA,2024-2025,417,23,04,IGNOAPS,"MADHYA PRADESH",22219,42681,11491,29004,20070,10553,567
NEEMUCH,2024-2025,419,23,04,IGNOAPS,"MADHYA PRADESH",9595,24174,3120,7998,13081,5202,2771
REWA,2024-2025,424,23,04,IGNOAPS,"MADHYA PRADESH",91422,131761,33857,47222,47201,27111,23592
SHAJAPUR,2024-2025,430,23,04,IGNOAPS,"MADHYA PRADESH",31516,43210,5352,18412,20121,15907,1830
UJJAIN,2024-2025,435,23,04,IGNOAPS,"MADHYA PRADESH",49069,63952,11402,26051,23249,27344,1957
UMARIA,2024-2025,436,23,04,IGNOAPS,"MADHYA PRADESH",16531,38798,4955,16729,12038,3634,18171
SINGRAULI,2024-2025,638,23,04,IGNOAPS,"MADHYA PRADESH",22098,65659,4858,30093,28088,8584,24129
ALIRAJPUR,2024-2025,639,23,04,IGNOAPS,"MADHYA PRADESH",7044,16530,101,6497,287,647,15495
GANDHINAGAR,2024-2025,446,24,04,IGNOAPS,GUJARAT,3903,4542,2073,2037,1954,441,74
NAVSARI,2024-2025,453,24,04,IGNOAPS,GUJARAT,10593,10729,1416,3801,519,227,8567
MAHISAGAR,2024-2025,669,24,04,IGNOAPS,GUJARAT,27276,29934,12292,8260,6945,1198,9491
ARVALLI,2024-2025,672,24,04,IGNOAPS,GUJARAT,16248,16373,2663,4894,8631,1648,3430
MUMBAI,2024-2025,482,27,04,IGNOAPS,MAHARASHTRA,156,158,128,65,15,15,0
NAGPUR,2024-2025,484,27,04,IGNOAPS,MAHARASHTRA,33870,39883,35953,4812,2220,1385,325
NANDURBAR,2024-2025,486,27,04,IGNOAPS,MAHARASHTRA,43684,45576,11253,7507,2556,1438,30329
OSMANABAD,2024-2025,488,27,04,IGNOAPS,MAHARASHTRA,46361,48989,36337,6221,5020,7278,354
RATNAGIRI,2024-2025,492,27,04,IGNOAPS,MAHARASHTRA,7436,7528,3066,2987,3806,371,43
SINDHUDURG,2024-2025,495,27,04,IGNOAPS,MAHARASHTRA,3985,4034,3286,1408,543,180,25
PALGHAR,2024-2025,665,27,04,IGNOAPS,MAHARASHTRA,30316,33235,5321,4141,822,1403,25689
CUDDAPAH,2024-2025,504,28,04,IGNOAPS,"ANDHRA PRADESH",57482,81996,43256,54569,26246,10474,2020
VISAKHAPATANAM,2024-2025,520,28,04,IGNOAPS,"ANDHRA PRADESH",32955,57047,16773,28218,21234,3027,16013
"Parvathipuram Manyam",2024-2025,743,28,04,IGNOAPS,"ANDHRA PRADESH",11631,11631,2973,11617,6555,1217,886
Konaseema,2024-2025,747,28,04,IGNOAPS,"ANDHRA PRADESH",21195,21195,5425,21137,11707,3604,459
Palnadu,2024-2025,751,28,04,IGNOAPS,"ANDHRA PRADESH",15301,15301,617,15283,11466,1197,2021
Nandyal,2024-2025,755,28,04,IGNOAPS,"ANDHRA PRADESH",15000,15000,5575,14977,5455,3106,864
"BENGALURU URBAN",2024-2025,525,29,04,IGNOAPS,KARNATAKA,4561,5728,2247,1887,2582,854,45
"CHAMARAJA NAGARA",2024-2025,531,29,04,IGNOAPS,KARNATAKA,26263,27640,548,18059,25241,1399,452
"DAKSHINA KANNADA",2024-2025,534,29,04,IGNOAPS,KARNATAKA,15530,16208,335,10124,14538,748,587
